Product_ID,Product Name,Company,Listing Price,Sale Price,Rating,Discount %,value,Description
AH2430,Women's adidas Originals NMD_Racer Primeknit Shoes,Adidas,150,75,4.8,50,31.0,"Channeling the streamlined look of an '80s racer, these shoes are updated with modern features. The foot-hugging adidas Primeknit upper offers a soft, breathable feel. The Boost midsole provides responsive comfort accented with a contrast-color EVA heel plug. Embroidered details add a distinctive finish."
G27341,Women's adidas Originals Sleek Shoes,Adidas,76,38,3.3,50,23.0,"A modern take on adidas sport heritage, tailored just for women. Perforated 3-Stripes on the leather upper of these shoes offer a sleek look that mirrors iconic tennis styles."
CM0081,Women's adidas Swim Puka Slippers,Adidas,10,6,2.6,40,4.0,These adidas Puka slippers for women's come with slim straps for a great fit. Feature performance logo on the footbed and textured Rubber outsole that gives unique comfort.
B44832,Women's adidas Sport Inspired Questar Ride Shoes,Adidas,70,35,4.1,50,17.0,"Inspired by modern tech runners, these women's shoes step out with unexpected style. They're built with a breathable knit upper, while the heel offers the extra support of an Achilles-hugging design. The cushioned midsole provides a soft landing with every stride."
D98205,Women's adidas Originals Taekwondo Shoes,Adidas,80,40,3.5,50,23.0,"This design is inspired by vintage Taekwondo styles originally worn to perfect high kicks and rapid foot strikes. The canvas shoes make a streetwear fashion statement as a chic, foot-hugging slip-on. They're shaped for a narrow, women's-specific fit and ride on a soft gum rubber outsole."
B75586,Women's adidas Sport Inspired Duramo Lite 2.0 Shoes,Adidas,48,19,1.0,60,48.0,"Refine your interval training in these women's versatile running-inspired shoes. Featuring a lightweight mesh and synthetic upper, they combine responsive midsole cushioning with a soft collar that reduces ankle pressure."
CG4051,Women's adidas Sport Inspired Duramo Lite 2.0 Shoes,Adidas,48,24,4.4,50,11.0,"Refine your interval training in these women's versatile running-inspired shoes. Featuring a lightweight mesh and synthetic upper, they combine responsive midsole cushioning with a soft collar that reduces ankle pressure."
CM0080,Women's adidas Swim Puka Slippers,Adidas,10,6,2.8,40,4.0,These adidas Puka slippers for women's come with slim straps for a great fit. Feature performance logo on the footbed and textured Rubber outsole that gives unique comfort.
B75990,WOMEN'S ADIDAS RUNNING DURAMO 9 SHOES,Adidas,56,28,4.5,50,12.0,"These women's neutral running shoes will get you on the road to your goals. A sandwich mesh upper offers lightweight breathability, while a seamless print overlay adds support for a stable stride. The midsole offers pillow-soft Cloudfoam cushioning that eases every stride."
EE5761,Men's adidas Originals Forest Grove Shoes,Adidas,66,40,4.0,40,16.0,"The Forest Grove brings back the look of the adidas Oregon running design from the '80s. A favourite for marathon training, it had a distinctive look and feel with shock-absorbing cushioning and a web-wrapped midsole. These streetwear shoes echo the original look with a textured nubuck and mesh upper. A web overlay on the midsole adds authentic Oregon style."
EE4553,Women's adidas Originals Swift Run Shoes,Adidas,76,46,2.7,40,28.0,"The Swift distills decades of adidas heritage running designs. Made for casual everyday wear, these lightweight knit shoes come with a sleek shape and a supportive yet flexible feel. They stand out with embroidered accents and smooth welded details. An EVA midsole adds all-day wearability."
EF9315,Women's adidas Originals Continental Vulc Shoes,Adidas,66,40,4.2,40,16.0,These low-profile shoes come in a pastel color for a feminine touch. A mix of nubuck and canvas on the upper adds texture. The suede toe cap is abrasion-resistant so they look fresh and new longer. A vulcanized outsole makes them durable.
F35281,Women's adidas Running Duramo 9 Shoes,Adidas,60,30,2.6,50,23.0,"These women's neutral running shoes will get you on the road to your goals. A sandwich mesh upper offers lightweight breathability, while a seamless print overlay adds support for a stable stride. The midsole offers pillow-soft Cloudfoam cushioning that eases every stride."
EF9220,Women's adidas Originals Supercourt Shoes,Adidas,76,46,3.1,40,25.0,"Forty years of court style, refined to the essentials. The clean, simple lines and supple leather upper of these shoes are a nod to tennis history. Iconic perforated 3-Stripes and a contrasting Trefoil heel tab give them a timeless look."
EG0000,Men's adidas Sport Inspired Response Trail Shoes,Adidas,80,40,3.2,50,25.0,"When the road turns to trail, all that matters is what lies ahead. These running shoes deliver a plush ride and confident grip in a fresh, sporty look. Cloudfoam cushioning feels ultra-soft while the aggressive outsole grabs on in all directions. The multilayer upper and sleek 3-Stripes elevate your look when you get back to town."
B44889,Women's adidas Running Cosmic 2 Shoes,Adidas,60,30,3.1,50,19.0,"These women's running shoes have a breathable mesh upper to keep your feet ventilated on your daily runs. The Cloudfoam midsole provides plush cushioning with every stride, and a high-wear outsole holds up over time."
CL7417,Women's adidas Sport Inspired Storm Runner Shoes,Adidas,46,23,1.0,50,46.0,"A fast, lightweight adidas stormrunner shoes for women. These running-inspired shoes are very comfortable for your daily routine. Made with textile upper and Cloudfoam midsole along with rubber outsole these shoes will provide comfort to your feet all day long."
CL7408,Women's adidas Sport Inspired Quickspike Shoes,Adidas,40,20,3.1,50,13.0,"These women's running-inspired shoes feature a breathable mesh upper with a comfort collar, while a moulded overlay provides lightweight support. The soft Cloudfoam cushioning in the one-piece midsole and outsole provides comfort that lasts all day long."
B43601,WOMEN'S ADIDAS SWIM CLOUDFOAM FLIP FLOPS,Adidas,33,16,2.7,50,12.0,A minimalist design with maximum post-workout comfort. These women's thong sandals feature a soft strap connected to a Cloudfoam footbed that cushions every step and dries quickly. A durable rubber outsole adds long-lasting wear.
EE8245,Women's adidas Sport Inspired Lite Racer Shoes,Adidas,43,21,3.8,50,11.0,Unstoppable style. These shoes borrow their lightweight look and feel from celebrated runners. The airy mesh upper has a clean finish with monochrome 3-Stripes. Plush cushioning helps keep the ride smooth.
EE8042,Women's adidas Running Duramo 9 Shoes,Adidas,56,28,5.0,50,11.0,"These women's neutral running shoes will get you on the road to your goals. A sandwich mesh upper offers lightweight breathability, while a seamless print overlay adds support for a stable stride. The midsole offers pillow-soft Cloudfoam cushioning that eases every stride."
CL7429,Women's adidas Sport Inspired Arcadeis Shoes,Adidas,43,21,3.7,50,12.0,These women's running-inspired shoes cradle your feet with a net mesh upper. Pillow-soft Cloudfoam cushioning in the one-piece midsole and outsole provides comfort that lasts all day long.
CL7370,Women's adidas Sport Inspired Videll Shoes,Adidas,38,23,3.9,40,10.0,Extremely functional and subtle running-inspired shoes for women. Feature a textile-mesh upper and synthetic overlays. EVA cushioning adds extra comfort. The running 3-Stripes on the sides along with an interesting all-over print on the upper add to it's appeal.
EE9946,Women's adidas Running EnergyFalcon X Shoes,Adidas,66,33,4.4,50,15.0,"When you dig deep to reach your goals, these running shoes offer the support and stability you need. Every step feels pillow-soft with plush cushioning and an OrthoLiteÂ® sockliner for comfort. A flowing TPU heel counter and thin support cage keep the foot centred and stable. The durable outsole is made for logging many miles."
CK9741,Women's adidas Sport Inspired Videll Shoes,Adidas,38,19,3.6,50,11.0,Extremely functional and subtle running-inspired shoes for women. Feature a textile mesh upper and synthetic overlays. EVA cushioning adds extra comfort. The running 3-Stripes on the sides along with an interesting all-over print on the upper add to it's appeal.
CL7363,Women's adidas Running Hellion Z Shoes,Adidas,33,20,2.7,40,12.0,Great everyday trainer for the runner in you to go that extra mile. The adidas Hellion Z shoes comes with mesh upper for providing lightweight and breathability to your feet.
CL7372,Women's adidas Sport Inspired Videll Shoes,Adidas,38,23,3.2,40,12.0,Extremely functional and subtle running-inspired shoes for women. Feature a textile-mesh upper and synthetic overlays. EVA cushioning adds extra comfort. The running 3-Stripes on the sides along with an interesting all-over print on the upper add to it's appeal.
CL7430,Women's adidas Sport Inspired Arcadeis Shoes,Adidas,43,21,4.9,50,9.0,These women's running-inspired shoes cradle your feet with a net mesh upper. Pillow-soft Cloudfoam cushioning in the one-piece midsole and outsole provides comfort that lasts all day long.
F34485,Women's adidas Sport Inspired Cloudfoam Pure Shoes,Adidas,56,34,5.0,40,11.0,These women's running-inspired shoes cradle your feet with a mesh upper and a Memory Foam footbed that conforms to the shape of your foot. Pillow-soft Cloudfoam cushioning in the one-piece midsole and outsole provides comfort that lasts all day long.
CL7365,Women's adidas Running Hellion Z Shoes,Adidas,33,20,3.6,40,9.0,"The adidas Hellion Z Running shoes for women with new design pattern for any runner looking for trendy yet extremely comfortable running shoe. An excellent combination of breathable Mesh with synthetic overlays on the upper makes it very comfortable for your feet on the run. Durable, non slippery, blown out one piece super grip EVA midsole and Rubber outsole ensures maximum stability and grip on the ground."
CL7373,Women's adidas Sport Inspired Yking 2.0 Shoes,Adidas,33,20,2.2,40,15.0,"These lightweight running-inspired shoes for women give all round comfort, cushioning, durability & support in a simplistic design. The mesh upper ensure breathability and durability. Lightstrike EVA midsole gives you cushioning you need everyday and Rubber outsole provides durability."
